gene_secretome	Secretome_value
DHRS9	1
DDR2	1
ADAM22	1
SLC41A2	1
EPHA4	1
TMEM131	1
ERV3-1	1
SLC3A1	1
C4B	1
LTK	1
EXTL2	1
HEPH	1
ATP6AP1	1
CACNA1G	1
GPX5	1
SLC13A2	1
FGFR1	1
CDH17	1
SEMA4A	1
HTATIP2	1
ADAM7	1
SEC61A2	1
PIGX	1
TMEM201	1
ADM5	1
ADAM28	1
SLC22A7	1
PLA2G10	1
GYPB	1
SLC13A3	1
IFNA13	1
ELN	1
C7orf57	1
TMEM245	1
STRC	1
ORM2	1
BTN3A1	1
IL15RA	1
MTA1	1
MICB	1
PATE3	1
DFNA5	1
SLC22A16	1
CHRNA1	1
C1orf159	1
TGFBR3	1
PLXNB1	1
ZDHHC16	1
SLC23A2	1
ATP11A	1
SLC35F5	1
FCGR3A	1
C4A	1
SEMA4F	1
SCN1B	1
ITGA9	1
ALG3	1
RLN3	1
CHL1	1
IGSF8	1
AMY2A	1
ACE	1
TMEM8A	1
PET117	1
ITGB1	1
PARL	1
CHRND	1
LRRC3B	1
C1orf50	1
HYAL2	1
CYR61	1
BMPER	1
SLC44A4	1
SERINC4	1
LINC00998	1
CHRNA7	1
QARS	1
DNAJC25	1
CDCP1	1
JMJD8	1
LAIR1	1
EPHA3	1
B3GNT9	1
IFNAR1	1
FJX1	1
LAMA2	1
SHISA5	1
ACVR1	1
ADCYAP1R1	1
OTOGL	1
IL2RB	1
CRHR2	1
PRSS48	1
C11orf94	1
WDR81	1
TMEM213	1
PRSS42	1
MERTK	1
TM2D3	1
CD164	1
MTR	1
C1QTNF5	1
TMX3	1
VIPR2	1
DYNLT3	1
PRAP1	1
KLHL22	1
PROM2	1
SLC39A5	1
RP11-685N3.1	1
TMEM67	1
B3GNT6	1
LTA	1
SLC26A10	1
ANO7	1
SLC6A8	1
FCGR2B	1
RGMA	1
PRRT3	1
EPHB6	1
TSPAN32	1
RETSAT	1
CACNA2D1	1
SLC51A	1
SLAMF7	1
ART4	1
CD200R1	1
FSHR	1
TMED2	1
ACKR3	1
PIGV	1
APOC4	1
ARSE	1
KCNQ4	1
MUC6	1
VSIG1	1
NRXN2	1
IFNGR2	1
PIGT	1
FAM171A1	1
LRRN3	1
IL1R2	1
UGT1A4	1
ITGAL	1
LRRTM4	1
CCL3L1	1
IFNL3	1
PIGQ	1
IMP4	1
DNAH14	1
ZFYVE27	1
PTPRJ	1
LRP2	1
GABRR1	1
IL4R	1
SFRP4	1
PRRT4	1
CFB	1
BAI2	1
MET	1
AC022532.1	1
HIAT1	1
PATE4	1
ADCYAP1	1
ATP1A2	1
HFE2	1
IFNA17	1
IL10	1
XXbac-BPG181M17.5	1
GLRA4	1
IFNA4	1
ANO10	1
LRIG3	1
LRP1B	1
PTPRF	1
LRRC32	1
HHAT	1
SETD8	1
ERN2	1
LAG3	1
ITIH3	1
ALK	1
AL592170.1	1
TMEM236	1
PIK3IP1	1
MST1	1
SLC1A1	1
FLVCR1	1
IL10RB	1
C11orf82	1
IL3RA	1
CTSO	1
ACP2	1
TMED3	1
NPIPB9	1
PRNP	1
FXYD3	1
ERBB3	1
MUC5B	1
IGFL1	1
SEC22C	1
RTBDN	1
FOLR4	1
DEFB121	1
VWA1	1
CD86	1
CDHR3	1
BTN3A3	1
BOC	1
ALG12	1
MUC4	1
IGSF11	1
TMED4	1
FAM19A1	1
KCNIP3	1
BTN2A2	1
TAPBP	1
ST6GALNAC5	1
PTK7	1
PTPRD	1
SELT	1
C21orf49	1
PAQR9	1
CACNA1D	1
ROBO2	1
HHLA2	1
WNT5A	1
ATP11B	1
LCN10	1
C21orf62	1
CD200	1
SLC37A3	1
MUC13	1
ADAM17	1
TYRP1	1
LAMP3	1
SLC33A1	1
RPN1	1
CDNF	1
SLC12A8	1
SLITRK3	1
ABCA2	1
ENTPD8	1
INSIG1	1
EPHB1	1
SYNPR	1
CD200R1L	1
PRB1	1
UGT3A2	1
SEPP1	1
GPR125	1
PCDHA10	1
GLRB	1
CANX	1
UGT2B4	1
DCUN1D4	1
ART3	1
ECSCR	1
TMEM108	1
GABRA2	1
LRPAP1	1
CR1L	1
SEMA6A	1
TNFRSF8	1
SEMA5A	1
OSMR	1
ITGA2	1
LRAT	1
GHR	1
SPON2	1
ADAM29	1
TMEM165	1
AGTRAP	1
CLCN3	1
PROM1	1
ITGA3	1
EPGN	1
RGMB	1
TLR3	1
PTGER3	1
HTR3A	1
FAT1	1
FGFRL1	1
PCDH1	1
EPPIN-WFDC6	1
TXNDC15	1
MGST2	1
ATP13A2	1
LPHN3	1
MARCH6	1
CLGN	1
DEFB4B	1
ADTRP	1
ATP2C1	1
UNC5C	1
GRIA2	1
PDGFRA	1
CDH10	1
RP11-1026M7.2	1
GPR98	1
C7orf73	1
RP11-826N14.2	1
F2R	1
EGFLAM	1
GYPE	1
GABRB1	1
CDHR2	1
UGT3A1	1
CXCL2	1
LTC4S	1
UGT2B28	1
UGT2B7	1
UGT2A1	1
FZD6	1
LY6K	1
TMEM185A	1
SERPINE3	1
PCNXL2	1
ADAM18	1
GABRP	1
RMDN1	1
TNFRSF10C	1
HGSNAT	1
PCDHGA11	1
LY6E	1
RIMS1	1
ADAM19	1
HAVCR1	1
SLC26A7	1
SBSN	1
SLC39A14	1
ST8SIA4	1
TMEM66	1
SEMA4G	1
DPY19L4	1
LAPTM4B	1
ZNF419	1
CHRNA2	1
PDGFRB	1
GABRA1	1
MFAP3	1
TFF3	1
CD47	1
RNF130	1
SIDT2	1
GRINA	1
ILDR2	1
SSR2	1
RP11-196G11.1	1
LGR4	1
PPAPDC1B	1
AMICA1	1
THY1	1
CD59	1
ALG8	1
ST3GAL4	1
SLC24A4	1
HTN3	1
SIRPB2	1
CHRNA10	1
MANF	1
MS4A14	1
MS4A8	1
PLET1	1
LRP8	1
SPRN	1
AC144568.2	1
PGAP2	1
BTN3A2	1
MS4A5	1
TMX4	1
APLP2	1
PCDHA6	1
C11orf24	1
CDON	1
LAYN	1
SCN3B	1
SLC39A4	1
SLC38A6	1
NRG1	1
LRP4	1
SIGLEC10	1
IL10RA	1
ZIC4	1
MTFR1L	1
NUP214	1
TMEM234	1
DDX20	1
SLC43A1	1
SLC1A2	1
CR1	1
TMEM80	1
SDHD	1
TM7SF2	1
STT3A	1
HLA-DQA1	1
LRP5	1
TMEM9	1
PTPRK	1
ITGB7	1
SIGLEC7	1
MANSC1	1
FLT1	1
LTBR	1
FHL1	1
SLC15A3	1
VNN3	1
GPR126	1
DUX4L4	1
C1R	1
CLEC2D	1
PIANP	1
TM7SF3	1
RELT	1
CDH19	1
HLA-DPB1	1
KIAA0319	1
EPHA6	1
HEATR5A	1
SDHAF2	1
CD6	1
FCGR2A	1
TNFRSF1B	1
ELP2	1
MYRFL	1
CD4	1
MLEC	1
FBXL2	1
CD5	1
M6PR	1
AC016586.1	1
CSMD1	1
AACS	1
WDR25	1
FAM132B	1
VSIG10	1
FAT3	1
CLSTN3	1
AL050302.1	1
PTPRO	1
EPHB2	1
EIF4G3	1
DGCR2	1
PTX4	1
CSF1R	1
TAPBPL	1
CADM1	1
MLXIP	1
TMIGD1	1
RP11-977G19.10	1
CPM	1
PMEL	1
ACVRL1	1
C12orf76	1
PRSS58	1
CERS5	1
TMEM119	1
TMPRSS12	1
RP11-116D17.1	1
SLC8B1	1
TMTC2	1
CHPT1	1
TMEM19	1
DRAM1	1
LMBR1L	1
CTD-2368P22.1	1
TSPAN31	1
ATP2A2	1
KANSL2	1
FAIM2	1
MMP14	1
IL11RA	1
RNASE12	1
SEL1L	1
GABRA5	1
TMED10	1
FBLN5	1
ACYP1	1
TMED7	1
SLC7A7	1
LRFN5	1
CYP46A1	1
GABRB3	1
POMT2	1
DUX4L6	1
DUX4	1
TMX1	1
DUX4L7	1
ABCD4	1
SLCO3A1	1
DUX4L3	1
DUX4L5	1
CCNB1IP1	1
PAX2	1
GPR137C	1
DUOX1	1
CD276	1
ATP8B4	1
RP11-597K23.2	1
FURIN	1
FAM189A1	1
ADAM8	1
CERS2	1
PRTG	1
RHCG	1
CHRNA5	1
LDLR	1
USP3	1
LINGO1	1
ARSD	1
SPPL2A	1
MEIS3	1
TGIF2-C20orf24	1
SLC12A1	1
GLG1	1
GPR56	1
AC114783.1	1
ISLR2	1
TMEM114	1
STMND1	1
RP11-468E2.2	1
NOMO2	1
RP4-576H24.4	1
CLN3	1
CACNA1H	1
CDH1	1
METRN	1
PPT2-EGFL8	1
QPRT	1
CDH5	1
CDH11	1
SPNS1	1
NOX5	1
RP11-520P18.5	1
NAGPA	1
CLEC19A	1
MSLN	1
SIRPB1	1
PIEZO1	1
SLC7A6	1
GPR97	1
BNC1	1
SPINT1	1
PRSS8	1
PKD1	1
CX3CL1	1
NOMO3	1
TNFRSF12A	1
RNF167	1
SEZ6L2	1
CTRL	1
BSG	1
TXNDC11	1
GCGR	1
UMOD	1
DPEP2	1
GP2	1
ADCY9	1
SMG6	1
WNK1	1
CCER2	1
CHRNB1	1
CIRH1A	1
ITGB3	1
ZG16B	1
ERBB2	1
SECTM1	1
DSG2	1
ICAM2	1
CD68	1
KIAA0195	1
PGAP3	1
GPRC5C	1
APCDD1	1
C19orf47	1
CD226	1
SPACA3	1
AKAP10	1
CD7	1
NETO1	1
TMEM220	1
TYROBP	1
FXYD5	1
PTPRS	1
TMEM161A	1
PIGN	1
KIRREL2	1
CEACAM19	1
AC006126.3	1
JSRP1	1
ICAM1	1
SPINT2	1
RAMP2	1
CD97	1
CD300LG	1
PRCD	1
DPY19L3	1
FAM171A2	1
SLC16A2	1
TMEM205	1
TMEM235	1
PCSK4	1
CNTNAP1	1
APLP1	1
EPOR	1
EPS8L1	1
ABCA5	1
PPAP2C	1
BCAM	1
APOC4-APOC2	1
ABCA8	1
CA4	1
TMED1	1
KDSR	1
NPC1	1
AC006116.20	1
CTD-2162K18.4	1
PTGIR	1
AL353354.2	1
CEA	1
SLC27A1	1
CD22	1
SIGLEC12	1
PINLYP	1
FCGRT	1
EMR3	1
IZUMO1	1
EMC10	1
AC079354.2	1
C15ORF31	1
ELSPBP1	1
CYP2S1	1
CERS1	1
F2RL3	1
DLL3	1
CD320	1
LSR	1
MBOAT7	1
AC061992.1	1
MIA-RAB4B	1
BAGE5	1
CXCL17	1
LRRC4B	1
TEX101	1
MAG	1
NOTCH3	1
GPR108	1
AC002451.1	1
THSD7B	1
IER3IP1	1
MINOS1-NBL1	1
PRSS56	1
FCRL3	1
FCAR	1
MCU	1
CTB-60B18.6	1
CH17-132F21.1	1
ZNF559-ZNF177	1
RP11-812E19.9	1
TMEM259	1
ERN1	1
PTPRN	1
DDOST	1
XXbac-BPG32J3.20	1
DUSP13	1
ADAM15	1
ACKR2	1
KCNT2	1
TRABD2B	1
TIMM17B	1
SLC5A3	1
